Episode,Step,Temperature,Humidity,Soil,Action,Reward
1,1,30.626938,34.803936,892.5598,PUMP ON,0.5474814507989607
1,2,30.639654,35.084316,868.9535,PUMP ON,0.5454783021625369
1,3,30.671135,34.912624,846.59515,PUMP ON,0.5449723299006998
1,4,30.644522,34.782845,829.6141,PUMP ON,0.5384936024578453
1,5,30.801147,34.36457,802.63416,PUMP ON,0.5370934157950097
1,6,30.946781,34.55363,782.86237,PUMP ON,0.5383981818691742
1,7,30.906761,34.616676,755.9447,PUMP ON,0.5396825890969046
1,8,30.795755,34.49971,728.26764,PUMP ON,0.5413602460635207
1,9,30.776915,34.662315,711.80646,PUMP ON,-0.4557557500225321
1,10,30.760784,34.98249,681.8908,PUMP OFF,0.2609388490307007
1,11,30.859219,34.8154,685.8308,PUMP OFF,0.25993924039279226
1,12,30.840553,34.643787,690.15375,PUMP ON,-0.4609604900724013
1,13,30.764574,34.341377,666.58966,PUMP OFF,0.2589520484024343
1,14,30.939352,34.767387,673.10016,PUMP OFF,0.2558631123686613
1,15,30.946468,34.39906,677.36865,PUMP OFF,0.2559140476921138
1,16,30.91121,34.31728,684.7712,PUMP OFF,0.2555538483060361
1,17,30.96714,34.41208,692.69885,PUMP ON,-0.4631341434319806
1,18,30.796877,34.150425,674.2978,PUMP OFF,0.2560268629857434
1,19,30.83936,34.151756,680.4543,PUMP OFF,0.2577370649986495
1,20,30.792292,34.24786,683.8286,PUMP OFF,0.2574548018542512
1,21,30.89891,34.479126,686.9461,PUMP OFF,0.2575704131101289
1,22,30.898668,34.492973,690.94696,PUMP ON,-0.4630649400618315
1,23,30.983372,34.625313,661.39746,PUMP OFF,0.2575537587619739
1,24,30.912548,34.52559,666.8987,PUMP OFF,0.25682487632230566
1,25,30.973036,34.585697,670.8302,PUMP OFF,0.25821710978858264
1,26,30.947912,34.696922,677.2054,PUMP OFF,0.2572673059883747
1,27,31.003374,34.716846,681.02997,PUMP OFF,0.2598522657499576
1,28,30.924606,34.84305,688.4551,PUMP OFF,0.2569597274996478
1,29,31.053055,34.802605,694.2139,PUMP ON,-0.4569775856869602
1,30,30.896574,35.169235,665.35876,PUMP OFF,0.26478857714665444
1,31,30.88337,35.356995,670.68994,PUMP OFF,0.26253828795965684
1,32,31.066534,35.533623,677.17145,PUMP OFF,0.26497042943419435
1,33,31.01783,35.71588,683.8938,PUMP OFF,0.26654940365069585
1,34,30.902933,35.626007,687.5423,PUMP OFF,0.2680663232398561
1,35,30.861738,35.712635,693.8098,PUMP ON,-0.44775957589772253
1,36,30.852324,36.21086,671.8356,PUMP OFF,0.27568529908329564
1,37,30.750858,36.38781,678.57965,PUMP OFF,0.27566883890863364
1,38,30.872253,36.689236,682.7944,PUMP OFF,0.27819669691333293
1,39,30.828417,36.89563,686.35126,PUMP OFF,0.2796261821383185
1,40,30.843605,37.112286,693.56464,PUMP ON,-0.44021401228860507
1,41,30.874027,37.208317,675.09827,PUMP OFF,0.27756194543961205
1,42,30.868134,36.915573,682.07404,PUMP OFF,0.275940122721121
1,43,30.968994,36.965,686.44446,PUMP OFF,0.281099847724979
1,44,30.826427,37.25355,691.95197,PUMP ON,-0.4398235500192548
1,45,30.959019,37.4696,676.31793,PUMP OFF,0.27555478935184907
1,46,31.165937,37.40919,683.1833,PUMP OFF,0.27941636379306073
1,47,31.11816,37.772446,688.45135,PUMP ON,-0.4387008616631327
1,48,31.028345,37.783253,671.8154,PUMP OFF,0.28048173134284954
1,49,31.089619,37.834267,679.38367,PUMP OFF,0.28020126916322785
1,50,31.100512,37.82644,685.14996,PUMP OFF,0.2826666551307814
1,51,30.99259,37.864807,689.008,PUMP ON,-0.44197237016783447
1,52,31.206142,37.818813,670.59247,PUMP OFF,0.27905750888056935
1,53,31.213444,37.965797,677.57056,PUMP OFF,0.2797710878238559
1,54,31.120676,37.823074,681.60846,PUMP OFF,0.28252945792637174
1,55,31.118904,38.163445,687.1984,PUMP OFF,0.28221100494656187
1,56,31.000082,37.82658,691.60736,PUMP ON,-0.43836429487626516
1,57,31.043898,37.86421,672.92053,PUMP OFF,0.2828242036539853
1,58,30.887514,37.62181,678.8727,PUMP OFF,0.2843427779216118
1,59,30.777369,37.53627,686.1696,PUMP OFF,0.2816458538331652
1,60,30.825394,37.319218,693.6348,PUMP ON,-0.4391744148834841
1,61,30.846643,37.26981,663.7175,PUMP OFF,0.2789362057893499
1,62,30.884144,37.127384,666.9003,PUMP OFF,0.2802205480835641
1,63,30.888653,37.299202,672.51874,PUMP OFF,0.2766393643560675
1,64,31.026712,37.1967,679.3675,PUMP OFF,0.27703391380520664
1,65,31.093277,37.412434,685.2092,PUMP OFF,0.2751661620798163
1,66,31.215313,37.48405,692.4944,PUMP ON,-0.4497591204951336
1,67,31.421104,37.382874,662.7599,PUMP OFF,0.2690729628590934
1,68,31.481266,37.387283,666.0466,PUMP OFF,0.27174650416021257
1,69,31.443523,37.62712,670.94617,PUMP OFF,0.27319953415391063
1,70,31.412802,37.73195,675.4965,PUMP OFF,0.27692040723467615
1,71,31.249235,37.78814,682.3453,PUMP OFF,0.2843948956908003
1,72,31.121157,38.402256,685.60077,PUMP OFF,0.2850426498967948
1,73,31.122564,38.48674,691.69305,PUMP ON,-0.4340746463558858
1,74,31.021883,38.345375,662.8654,PUMP OFF,0.29173488139096854
1,75,30.814924,38.55417,666.09064,PUMP OFF,0.2903331764094115
1,76,30.815145,38.37951,671.3854,PUMP OFF,0.2864772317889647
1,77,30.949348,38.233025,678.32227,PUMP OFF,0.2870024586644866
1,78,30.929472,38.248985,685.93787,PUMP OFF,0.28544207214564227
