Episode,Total_Reward,Cumulative_Reward,Epsilon,Learning_Rate,Gamma,Batch_Size,Epsilon_Decay,Steps_Per_Episode,ON_Percent,OFF_Percent
1,-27.29310853654163,-27.29310853654163,0.3669578217261671,0.001,0.99,64,0.995,200,32.5,67.5
2,24.639999999999965,-2.6531085365417155,0.1346580429260134,0.001,0.99,64,0.995,200,24.5,75.5
3,-32.09002416430939,-34.743132700851106,0.0494138221100385,0.001,0.99,64,0.995,200,20.5,79.5
4,-15.874887775401616,-50.61802047625277,0.018132788524664028,0.001,0.99,64,0.995,200,21.0,79.0
5,16.337119070987725,-34.28090140526507,0.006653968578831948,0.001,0.99,64,0.995,200,7.000000000000001,93.0
6,-25.89561886486373,-60.176520270128776,0.002441725815522529,0.001,0.99,64,0.995,200,25.0,75.0
7,-23.713390774951005,-83.88991104507971,0.0008960103865166974,0.001,0.99,64,0.995,200,25.5,74.5
8,-37.201970094346876,-121.0918811394268,0.0003287980196801882,0.001,0.99,64,0.995,200,18.5,81.5
9,-32.36557605455984,-153.45745719398673,0.0001206550050897193,0.001,0.99,64,0.995,200,18.5,81.5
10,-32.54709746473509,-186.0045546587217,4.4275297848083e-05,0.001,0.99,64,0.995,200,18.0,82.0
11,-7.368968857470808,-193.37352351619205,1.6247166854609775e-05,0.001,0.99,64,0.995,200,17.0,83.0
12,-24.24000000000002,-217.61352351618984,5.962024958189189e-06,0.001,0.99,64,0.995,200,17.0,83.0
13,1.2000000000000008,-216.41352351618747,2.1878116917341465e-06,0.001,0.99,64,0.995,200,19.0,81.0
14,-53.91341710081219,-270.32694061699965,8.028346127458031e-07,0.001,0.99,64,0.995,200,17.0,83.0
15,5.399999999999993,-264.9269406170012,2.94606440699571e-07,0.001,0.99,64,0.995,200,16.0,84.0
16,41.724582865482304,-223.20235775151895,1.0810813774561376e-07,0.001,0.99,64,0.995,200,10.5,89.5
17,36.87999999999992,-186.3223577515172,3.967112673800288e-08,0.001,0.99,64,0.995,200,11.0,89.0
18,41.57404214913288,-144.7483156023843,1.4557630253200242e-08,0.001,0.99,64,0.995,200,19.0,81.0
19,53.5199999999999,-91.22831560238474,5.342036287209309e-09,0.001,0.99,64,0.995,200,9.5,90.5
20,32.82748843367635,-58.4008271687084,1.960301999536469e-09,0.001,0.99,64,0.995,200,11.5,88.5
21,62.377496341124285,3.9766691724159124,7.193481516753529e-10,0.001,0.99,64,0.995,200,17.0,83.0
22,39.420067216469526,43.39673638888542,2.63970430801532e-10,0.001,0.99,64,0.995,200,16.0,84.0
23,62.719999999999864,106.11673638888506,9.686601428704811e-11,0.001,0.99,64,0.995,200,10.5,89.5
24,21.105366710061627,127.22210309894668,3.554574160207097e-11,0.001,0.99,64,0.995,200,8.5,91.5
25,32.799999999999905,160.0221030989491,1.3043787909937144e-11,0.001,0.99,64,0.995,200,16.5,83.5
26,26.764141742017465,186.7862448409666,4.786519998488651e-12,0.001,0.99,64,0.995,200,8.0,92.0
27,-16.716173669133955,170.07007117183267,1.7564509522941327e-12,0.001,0.99,64,0.995,200,18.0,82.0
28,39.32162624100259,209.3916974128354,6.445434154227066e-13,0.001,0.99,64,0.995,200,9.0,91.0
29,40.76478204695256,250.15647945978796,2.3652024773146023e-13,0.001,0.99,64,0.995,200,18.5,81.5
30,32.853672024562776,283.01015148435073,8.679295490167e-14,0.001,0.99,64,0.995,200,13.0,87.0
31,66.82707893742514,349.8372304217758,3.1849353671894247e-14,0.001,0.99,64,0.995,200,7.000000000000001,93.0
32,34.301326196991425,384.13855661876744,1.1687369446824622e-14,0.001,0.99,64,0.995,200,20.0,80.0
33,22.060611316547543,406.19916793531513,4.288771633915727e-15,0.001,0.99,64,0.995,200,17.0,83.0
34,45.94806481176169,452.14723274707643,1.5737982966626908e-15,0.001,0.99,64,0.995,200,11.5,88.5
35,50.872100553575294,503.01933330065145,5.775175947796936e-16,0.001,0.99,64,0.995,200,17.5,82.5
36,22.0281487542475,525.0474820548995,2.1192459858889142e-16,0.001,0.99,64,0.995,200,19.5,80.5
37,77.07999999999986,602.1274820549035,7.776738906837189e-17,0.001,0.99,64,0.995,200,10.0,90.0
38,55.094059189776225,657.2215412446812,2.853735169386108e-17,0.001,0.99,64,0.995,200,13.0,87.0
39,20.535895873331683,677.7574371180128,1.0472004415412804e-17,0.001,0.99,64,0.995,200,21.5,78.5
40,12.473139295847487,690.2305764138597,3.842783929386681e-18,0.001,0.99,64,0.995,200,25.5,74.5
